Age_kyr,IBR_Full_dataset,IBR_20kyr_ensemble_mean,IBR_20kyr_empirical_lower_95,IBR_20kyr_empirical_upper_95,IBR_50kyr_ensemble_mean,IBR_50kyr_empirical_lower_95,IBR_50kyr_empirical_upper_95,IBR_100kyr_ensemble_mean,IBR_100kyr_empirical_lower_95,IBR_100kyr_empirical_upper_95
1250.0,0.0003991683144760936,0.00038455842083500065,0.0002664846762705087,0.0004887050620248097,0.00038059375,0.00014317875000000008,0.0005747624999999989,0.00039230890067340073,6.718530303030288e-05,0.0007009241666666666
1260.0,0.00040406136871358055,0.0003913064666666667,0.00027376016666666637,0.0005095939999999997,0.00038822500104427726,0.0001725000000000012,0.000579487321428571,0.00039479450000000013,6.718530303030288e-05,0.0007061352777777781
1270.0,0.00040219471373690484,0.00038962786928104556,0.00026872738775510143,0.0005124612352941183,0.0003821769051796154,0.00017246339285714407,0.0005711787969924822,0.00039118092087542114,5.2889015151515494e-05,0.0007061352777777781
1280.0,0.0003961308064171156,0.0003824234666666666,0.0002668789999999996,0.0004962575,0.00037488521198830396,0.00014178515037593933,0.0005710671052631588,0.0003811424461279465,5.2889015151515494e-05,0.0007061352777777781
1290.0,0.00038939166136931245,0.0003743927463118582,0.00026106046118447296,0.0004869515588235289,0.00036605796574770255,0.00013355631578947352,0.0005737558082706764,0.0003706785740740743,4.971840909090846e-05,0.0006897258333333337
1300.0,0.0003940714575877875,0.00037796446666666663,0.00026539600000000026,0.0004952199999999993,0.00037100624999999993,0.0001337174999999998,0.0005681912499999991,0.0003743850000000003,3.950666666666716e-05,0.0007015075
1310.0,0.00039837804513170026,0.00038212845302120835,0.00026794698119247723,0.0004967344117647047,0.0003736846604010026,0.00014228357142857158,0.0005746637499999984,0.00037961498989898983,5.191166666666598e-05,0.0007176393181818184
1320.0,0.0003954291338003624,0.00038019096666666634,0.00026161150000000036,0.0004936719999999998,0.0003690101823308272,0.00013555059523809478,0.0005728855263157887,0.000375704845117845,5.8114141414142264e-05,0.000669087500000001
1330.0,0.00040555834967401385,0.00039356232897158866,0.00027605233973589403,0.0005092231872749097,0.00038221202255639105,0.000154101096491228,0.0005775142763157887,0.00038416486700336655,5.8091919191920004e-05,0.0006914645454545456
1340.0,0.00041022798805197345,0.00040136446666666633,0.00028760649999999956,0.0005148634999999998,0.0003888246984126986,0.00018259625000000007,0.0005775142763157887,0.00039045509595959574,8.285750000000002e-05,0.0006916812121212123
1350.0,0.00041524236964209435,0.0004015619774042949,0.0002726817843137253,0.0005114329131652662,0.0003901575000000001,0.00018259250000000004,0.0005774749999999992,0.00039314304040404034,9.826939393939424e-05,0.0006916812121212123
1360.0,0.0004083437404781942,0.0003864064666666666,0.00026087266666666625,0.0005004305000000001,0.00038280861319966574,0.0001651113565162898,0.0005723054667919799,0.00038586349494949503,9.479159090909003e-05,0.0007070524999999997
1370.0,0.0004008136386352281,0.0003765381309457116,0.00025875224509803925,0.00048397641256502625,0.0003744060327903089,0.00015191101190476338,0.0005657464473684216,0.0003766015151515154,9.495499999999907e-05,0.0006615170454545464
1380.0,0.0004033744655531479,0.00037784546666666687,0.00025450100000000035,0.0004850260000000003,0.0003740720089807851,0.00015843732142857203,0.0005600234210526314,0.00037827263299663316,9.495499999999907e-05,0.0006646725000000009
1390.0,0.00040926184962173864,0.0003808130724022946,0.00026384337214885973,0.00048606712124849987,0.0003790254617794485,0.00016280099624060016,0.0005798350845864669,0.0003800595555555557,8.148999999999926e-05,0.0006646725000000009
1400.0,0.0004077825616397939,0.00038502346666666664,0.000269362,0.0004935156666666683,0.0003805824999999999,0.0001533650000000002,0.0005968312499999993,0.0003815625,5.62075000000011e-05,0.0006845625000000007
1410.0,0.0004070256531613525,0.00038592540441509957,0.0002737531640656262,0.0005044973147258902,0.0003802849383876358,0.0001569124999999996,0.000596782499999999,0.000379464005050505,5.62075000000011e-05,0.0006854941666666674
1420.0,0.0004185893574297181,0.0003974094666666669,0.0002807370000000013,0.0005130346666666667,0.0003911531844193819,0.0001787395394736853,0.0005967511090225554,0.00039054732659932667,9.517861111111019e-05,0.0006840238888888894
1430.0,0.00040732174865317503,0.0003881795246098443,0.0002707583241296519,0.0005133620894357747,0.0003775737048872182,0.00015647504699248005,0.000577303355263158,0.00037620263973063984,8.977749999999986e-05,0.0006523125000000005
1440.0,0.00038336633626432184,0.0003662884666666668,0.00024889949999999986,0.0004829345000000009,0.00034989126754385986,0.00014163482142857145,0.0005429125000000005,0.00034054716666666687,5.0974166666666765e-05,0.0005948455808080809
1450.0,0.0003740663278727472,0.0003462217156195812,0.00022463037214885857,0.00046710653361344484,0.000339305,0.0001408037500000001,0.0005309350000000018,0.0003266979309764311,5.0340000000000646e-05,0.0005713111111111102
1460.0,0.0003788838850859992,0.0003477999666666665,0.00022074,0.0004606394999999996,0.0003417228304093567,0.00014278562030075332,0.0005311500000000019,0.0003345824562289563,4.760883838383798e-05,0.0005873149999999994
1470.0,0.00038495004458239854,0.00035003856966786697,0.00021671837254901876,0.0004582732364945971,0.00034937905451127806,0.00015621752819548756,0.0005528721992481224,0.0003395378484848485,4.760883838383798e-05,0.0006123725000000001
1480.0,0.0003814467247184732,0.0003439419666666667,0.00021385050000000163,0.00045184850000000085,0.0003443265685045946,0.00015621752819548756,0.0005528721992481224,0.00033488951851851854,4.760883838383798e-05,0.0005871424999999993
1490.0,0.0003711401096795588,0.0003239566763638788,0.0001921670980392151,0.00044441750000000067,0.00033250906244778613,0.00013027160714285615,0.0005428705357142862,0.0003219942777777777,4.1130000000000096e-05,0.0005868474999999992
1500.0,0.0003678494263852325,0.0003156559666666666,0.00018311000000000057,0.000421815500000001,0.0003268949999999997,0.00011934374999999958,0.0005429020833333339,0.00031961649999999995,4.1130000000000096e-05,0.0005868474999999992
1510.0,0.0003685144249757961,0.00031266351041750045,0.00018678576750700304,0.0004192325374149665,0.0003248091115288219,0.00010150883458646662,0.0005275073684210531,0.00031890044107744106,4.131068181818192e-05,0.0005868474999999992
1520.0,0.0003631019266675368,0.0003025404666666664,0.00017902899999999928,0.00041439049999999914,0.0003183737951127817,8.471397243107666e-05,0.0005275388157894742,0.0003123685757575759,4.4538257575756866e-05,0.0005738249999999993
1530.0,0.0003519159074714975,0.0002919356787648392,0.0001654060718954242,0.0004048303163265306,0.0003035895336257308,8.471397243107666e-05,0.0005071045488721801,0.0002998008080808082,4.4063257575756874e-05,0.000569260227272727
1540.0,0.0003464783355957244,0.00028852246666666656,0.00017225,0.0004030920000000005,0.0003028738719715955,0.00011080194235588949,0.0005306821428571421,0.0003049544545454546,1.7972727272726945e-05,0.0005912443939393948
