Age_kyr,IQR_Full_dataset,IQR_20kyr_ensemble_mean,IQR_20kyr_empirical_lower_95,IQR_20kyr_empirical_upper_95,IQR_50kyr_ensemble_mean,IQR_50kyr_empirical_lower_95,IQR_50kyr_empirical_upper_95,IQR_100kyr_ensemble_mean,IQR_100kyr_empirical_lower_95,IQR_100kyr_empirical_upper_95
870,0.6449999999999996,0.6138895833333338,0.459925,0.7701437500000005,0.5951804166666662,0.3661062499999995,0.8514687499999999,0.5605029166666666,0.24425000000000013,0.9290437499999998
880,0.6399999999999997,0.6058300000000002,0.45030000000000076,0.7655125,0.587642083333333,0.3494500000000008,0.84378125,0.5524470833333333,0.21481250000000074,0.8924187500000005
890,0.6382499999999993,0.6032362500000003,0.44676250000000095,0.7704000000000001,0.5836558333333335,0.35193750000000035,0.84378125,0.5496454166666664,0.21481250000000074,0.8924187500000005
900,0.6460000000000008,0.6143075000000003,0.4503625000000008,0.7765937499999993,0.5924704166666672,0.3663500000000003,0.8449999999999998,0.5622591666666665,0.21481250000000074,0.9097875000000002
910,0.6430000000000007,0.6122745833333333,0.4524499999999997,0.7850250000000001,0.5933316666666668,0.36044375000000006,0.8551250000000005,0.5630879166666665,0.22182500000000044,0.9207500000000005
920,0.6269999999999998,0.5996275000000003,0.4596937499999997,0.7757624999999995,0.5855120833333336,0.34731250000000014,0.8500312500000001,0.5457454166666666,0.20993749999999997,0.9102499999999998
930,0.6200000000000001,0.5915387500000002,0.43396250000000014,0.7715125,0.5757079166666665,0.3319812500000007,0.8325249999999996,0.5366616666666666,0.20993749999999997,0.8929375000000002
940,0.6140000000000008,0.5894325000000005,0.4324000000000001,0.7455000000000003,0.5745491666666666,0.33118749999999936,0.8326062499999997,0.5329404166666665,0.19975000000000018,0.9099999999999997
950,0.61625,0.5879833333333333,0.4299999999999997,0.7849999999999993,0.5739875,0.33094374999999954,0.8326062499999997,0.5358716666666666,0.19974999999999932,0.9026562499999999
960,0.6167500000000006,0.5774499999999998,0.42914375000000055,0.7500375,0.5657812500000001,0.33094374999999954,0.8326062499999997,0.5303516666666666,0.20000000000000015,0.8927500000000002
970,0.612750000000001,0.5712524999999996,0.4169499999999998,0.7507000000000001,0.5607983333333331,0.33094374999999954,0.8326062499999997,0.5269933333333333,0.20731250000000045,0.8927500000000002
980,0.6120000000000001,0.5753262499999997,0.43310625000000014,0.7450874999999997,0.5656279166666668,0.32996874999999964,0.8229374999999999,0.5298820833333333,0.21295625000000007,0.8927500000000002
990,0.6155000000000004,0.5834645833333333,0.4399249999999995,0.7503500000000001,0.5705741666666667,0.33000000000000007,0.8210374999999998,0.5333470833333331,0.21295625000000007,0.8927500000000002
1000,0.6252500000000003,0.5884429166666666,0.44496249999999987,0.755525,0.5761099999999999,0.35336875000000034,0.83504375,0.5342179166666665,0.21295625000000007,0.8864062500000001
1010,0.6299999999999999,0.5947458333333331,0.4452437499999997,0.7701875000000005,0.58063375,0.35336875000000034,0.8335374999999999,0.5373554166666668,0.21295625000000007,0.8900625000000005
1020,0.6299999999999999,0.5981883333333334,0.44744375000000064,0.7775624999999995,0.58475625,0.36695,0.8250062500000004,0.5417329166666666,0.2126750000000001,0.8900625000000005
1030,0.6400000000000001,0.5984200000000003,0.44988124999999973,0.7725624999999999,0.58611,0.3359687499999993,0.8250062500000004,0.5419574999999999,0.21288750000000006,0.88634375
1040,0.6240000000000001,0.5910183333333336,0.42500000000000027,0.7629562500000006,0.5771712499999996,0.3423437499999998,0.8454375000000003,0.5288937499999996,0.2024374999999997,0.8587812500000006
1050,0.6254999999999997,0.5766487499999999,0.41743749999999996,0.7600000000000002,0.5716774999999995,0.3423437499999998,0.8454375000000003,0.5197849999999996,0.20000000000000015,0.8587812500000006
1060,0.6299999999999994,0.5741975,0.4248124999999998,0.7426875000000006,0.5713612499999996,0.3423437499999998,0.8454375000000003,0.5212975,0.20000000000000018,0.85509375
1070,0.6299999999999994,0.5802687499999998,0.4423999999999999,0.7515875000000001,0.5796337499999995,0.33974999999999983,0.8721812499999999,0.5261412499999996,0.2083499999999999,0.8600374999999999
1080,0.6237499999999998,0.5727587499999998,0.42999375,0.7500625000000001,0.5739549999999997,0.34000000000000075,0.8502500000000006,0.520459166666666,0.2083499999999999,0.8600374999999999
1090,0.6259999999999994,0.5672999999999999,0.4285249999999998,0.7499999999999996,0.5653699999999996,0.33243750000000044,0.82075,0.5137754166666665,0.2024374999999997,0.8549999999999995
1100,0.6299999999999994,0.56492,0.41969375000000037,0.7378124999999999,0.5676899999999998,0.3324687500000004,0.8331125000000001,0.5127579166666666,0.19988125000000018,0.8530500000000006
1110,0.6299999999999994,0.5721054166666666,0.42965624999999974,0.7375624999999999,0.5723024999999998,0.3495312500000005,0.8605624999999996,0.5201941666666665,0.19988125000000018,0.8558750000000002
1120,0.6299999999999994,0.5747033333333332,0.42063749999999994,0.7500625000000001,0.5729191666666665,0.3495312500000005,0.8599999999999994,0.5167579166666666,0.20688749999999984,0.8685624999999992
1130,0.6449999999999996,0.571045,0.42474999999999985,0.7351249999999999,0.5735116666666663,0.36417500000000025,0.8599999999999994,0.5181404166666668,0.20688749999999984,0.8685624999999992
1140,0.6189999999999998,0.560279166666667,0.42578750000000015,0.7194562499999998,0.5603750000000001,0.3378500000000001,0.8599999999999994,0.507291666666667,0.21987499999999977,0.8554
1150,0.5900000000000003,0.5571016666666668,0.41475625,0.7192124999999999,0.5563995833333332,0.32198125000000005,0.8279375000000007,0.5021912500000003,0.21479999999999985,0.855125
1160,0.5699999999999998,0.5498345833333335,0.40988125000000014,0.70030625,0.5428899999999999,0.29740624999999943,0.8279375000000007,0.4956766666666669,0.21497499999999986,0.8602499999999991
1170,0.56,0.5392775000000002,0.40462499999999985,0.6853812500000006,0.5321937500000001,0.2937187499999993,0.8106125000000004,0.4921525000000001,0.21346250000000042,0.855125
1180,0.5500000000000003,0.5314345833333333,0.40413750000000054,0.6851250000000005,0.5220162500000005,0.2932812499999993,0.8103937500000004,0.4822687500000003,0.19493750000000026,0.8234374999999999
1190,0.5549999999999997,0.5287945833333333,0.4068249999999996,0.6700000000000004,0.5196933333333336,0.29315624999999934,0.7394375000000004,0.47972999999999993,0.1924374999999999,0.8103124999999997
1200,0.5525000000000002,0.5315762500000002,0.40839999999999965,0.6700624999999996,0.5255533333333338,0.2937187499999993,0.7316187500000008,0.48199624999999996,0.1924374999999999,0.8103124999999997
1210,0.5600000000000005,0.5313004166666669,0.40986250000000013,0.6602500000000002,0.5248920833333333,0.29365624999999934,0.7701,0.481595,0.1924374999999999,0.7856249999999998
1220,0.5592499999999996,0.5328462500000003,0.4074375000000002,0.6650625,0.5277183333333333,0.28941250000000046,0.7701,0.4825825000000002,0.20956249999999998,0.8106562499999997
1230,0.5405000000000002,0.5275504166666665,0.4038999999999999,0.6503125000000004,0.5189262499999999,0.30496874999999973,0.7601874999999999,0.47160000000000013,0.20936249999999995,0.7807500000000004
1240,0.5500000000000003,0.5233075000000001,0.4071250000000002,0.6626875000000005,0.5140416666666665,0.2597500000000002,0.7502500000000005,0.4640758333333334,0.2032687500000003,0.8502500000000002
1250,0.5394999999999994,0.5191704166666665,0.3997374999999999,0.6551250000000007,0.5123287499999997,0.25968750000000024,0.7602312499999998,0.46052750000000003,0.18986250000000038,0.8500625
1260,0.5290000000000004,0.5137425,0.3871875000000002,0.6378749999999999,0.5000987499999997,0.24354374999999992,0.7360000000000001,0.4534650000000003,0.20218750000000058,0.837875
1270,0.5300000000000002,0.5207670833333334,0.3998749999999999,0.6516874999999998,0.5017449999999999,0.23988749999999975,0.7761000000000002,0.46311250000000015,0.20238750000000055,0.8657499999999999
1280,0.5375000000000001,0.5266370833333335,0.3974687500000004,0.6525625000000004,0.5071075000000002,0.23988749999999975,0.7950500000000004,0.46705999999999986,0.20371875000000034,0.8951125000000001
1290,0.5300000000000002,0.5239837500000002,0.39621875000000023,0.6600000000000001,0.5080724999999999,0.23988749999999975,0.7925625000000001,0.46423250000000016,0.20862499999999978,0.8657499999999999
1300,0.5300000000000002,0.5222812500000003,0.39246249999999966,0.6775625000000003,0.5082525,0.23988749999999975,0.7925625000000001,0.4604524999999999,0.20862499999999978,0.8651874999999998
1310,0.5300000000000002,0.5153699999999999,0.38487500000000024,0.6600000000000001,0.49961000000000005,0.23979999999999976,0.7452187500000002,0.44800166666666685,0.20360625000000032,0.837625
1320,0.5300000000000002,0.51581,0.38500000000000023,0.64775,0.4983475,0.23194999999999977,0.75009375,0.44126791666666676,0.20360625000000032,0.8430624999999995
1330,0.5390000000000006,0.5200462500000003,0.38615624999999953,0.6601249999999997,0.5043825000000001,0.2398000000000002,0.7506875000000002,0.44434041666666674,0.20996874999999954,0.8254375000000007
1340,0.5400000000000005,0.52295625,0.38218749999999985,0.6578374999999999,0.5096774999999998,0.2692499999999996,0.75009375,0.44408125000000004,0.1897500000000004,0.8427499999999994
1350,0.5489999999999999,0.5222962500000001,0.3797499999999999,0.6552500000000008,0.5075737499999998,0.2773125000000003,0.7601249999999998,0.4468612500000001,0.1797500000000006,0.8427499999999994
1360,0.5492500000000002,0.5216275000000001,0.3846250000000002,0.6550625000000007,0.5066937499999999,0.27000000000000046,0.7656875000000007,0.44932749999999994,0.1797500000000006,0.8127500000000001
1370,0.5330000000000004,0.5128749999999997,0.3794999999999999,0.6577124999999998,0.49604250000000005,0.25962499999999983,0.7413125000000005,0.44370833333333315,0.1798250000000006,0.8127500000000001
1380,0.5252499999999998,0.5030575000000002,0.3599375000000003,0.6540874999999999,0.4846787499999997,0.25962499999999983,0.7249999999999996,0.4338095833333333,0.1698999999999999,0.8127500000000001
