Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
870,0.0005926067438398917,0.0005070038511198136,0.00021791333105356572,0.0007577513194905058,0.0005172523945611096,3.5274190160393117e-05,0.001104704018263334,0.0005776456625747356,1.4067303256114916e-05,0.0014684657474000485
880,0.0005790641310122312,0.0004893417679372914,0.00021157360621154667,0.0007759731347443329,0.000507016149117264,3.523678442664114e-05,0.0011238135106525354,0.0005581251408786664,1.210547063841583e-05,0.0014684657474000485
890,0.0005660639331830966,0.0004783789807639291,0.00018816562996585946,0.0007573393894072169,0.0005008046096962108,2.4818253426472494e-05,0.0010929724469302146,0.0005570422606496974,1.692459976297336e-05,0.0014839553915725078
900,0.0006067897845789411,0.0005296847181881783,0.00023360402308822986,0.0008155910926457157,0.0005374071192537464,2.7156799853085216e-05,0.0010932972696353033,0.0006009590881513347,3.071798356265236e-05,0.0014932240792081648
910,0.0006435475774724028,0.0005714284088236747,0.0002424105375334242,0.0008710228936624723,0.0005602456125756507,3.948490454806279e-05,0.0011421323731074695,0.0006329514269897255,5.0332959737581906e-05,0.0014932240792081648
920,0.0006473748948015788,0.0005791190765381945,0.0002987301222337095,0.0008710228936624723,0.000571336013838924,3.1646338477001996e-05,0.0011362812573599225,0.0006418366425491475,2.489596532510696e-05,0.001500941118406984
930,0.0006009406432042419,0.000546291749249844,0.00027289186271531557,0.0008223655045946278,0.0005241435076610364,6.06355187583408e-05,0.0011244394091058645,0.0005974473795539899,2.3293186333398156e-05,0.0014684657474000485
940,0.0005947893863713068,0.0005591481402182474,0.0002704138517896638,0.0008345529534814931,0.0005485009839369614,5.7396428589360024e-05,0.0010851982773737421,0.0005913154509616412,2.1473726854455492e-05,0.0014701154153473582
950,0.0006074591480603078,0.0005751293271523633,0.00027130962146539413,0.0008837111741603182,0.0005632804937139372,6.182616452618247e-05,0.001109875895049032,0.0006126540645948021,1.2061064166607846e-05,0.0014701154153473582
960,0.0005953406092460655,0.0005365831871759999,0.0002311477300193377,0.0008803195227746848,0.0005414105352068947,3.8259459730433315e-05,0.0010724425472260785,0.000609972916785632,2.3173281117493595e-05,0.0014701154153473582
970,0.000583780784134349,0.0005142684291277264,0.00019528473760495828,0.0008290943561484026,0.0005222676082074776,4.665513338015589e-05,0.001100695368686717,0.0006004955025773842,2.5057477754721676e-05,0.001500383574451869
980,0.0005898846519935053,0.0005223384686200183,0.00019528473760495828,0.000840145004924254,0.0005373920004559115,6.0037404989309715e-05,0.0011007742712636356,0.0006102970732057024,2.5057477754721676e-05,0.001500383574451869
990,0.0006182841160992099,0.0005875231632048634,0.0002678859755989338,0.0008870729216584347,0.0005889505524999418,6.706020161565914e-05,0.001196541293740586,0.000640790273881563,2.7585841917803514e-05,0.0015510545342259888
1000,0.0006500580569092205,0.0006500352226520879,0.00034507082981374945,0.0009561352627361783,0.0006543615228755507,6.706020161565914e-05,0.001307286296966661,0.0006829881501752165,2.879202702119104e-05,0.0016397335141475095
1010,0.0006752465751262862,0.000677453812981009,0.00035835273593507085,0.001019644511364003,0.0006706765664951501,6.706020161565914e-05,0.001307286296966661,0.0007097617390458555,4.7643756224808825e-05,0.0016424773765163665
1020,0.0007036858828173853,0.000687918078451929,0.0003823359111260082,0.0009863074438857076,0.0006870171069575099,6.583774889464159e-05,0.0013298969897351952,0.0007173658033896469,4.77302143374843e-05,0.0016620364134933092
